,10946,19898,80176,66989,11766,16550,16519,29777,48859,3450,63480,70601,10947,33335,20614,63481,59874,71316,3530,18690,61629,64665,17028,53566,48537,60036,30822,3338,3337,77589,59873,10611,63445,78356,59848,76623,54632,63482,72328,59847,71317,9974,3372,3410,78355,11574,10957,70572,63311,10965,6013,15985,5983,66738,69265,65660,60387,59286,74582,66839,77313,57005,63627,54639,37961,80417,3411,54232,72434,20527,70579
29606863,7418,1004,728,1178,0,4719,2735,4726,698,0,0,0,95,167,504,0,811,0,0,35,0,0,72,0,510,0,0,368,2397,48,45,132,0,0,27294,48,0,0,0,124,199,292,34277,26193,0,10417,125,0,180,5033,880,0,9273,0,0,0,0,0,0,88,1244,2092,16,12,344,0,0,422,0,0,173
29378784,11476,3420,1176,1662,1716,62371,6750,2651,720,18,8,48,84,50,96,20,2367,102,66,8,174,0,36,54,72,8,64,8,7129,0,56,0,0,120,332,0,160,18,24,0,0,100,2993,4384,0,460,120,48,0,0,2,0,223,80,0,0,0,0,0,1,0,594,0,0,0,0,0,0,0,0,20
29379853,357564,207420,0,32722,192386,0,0,0,317,2357,43363,15907,265083,50007,62388,30888,56,34141,4430,3223,25056,30076,4126,7066,8830,0,48,16,587,48,48,2661,115,60283,22,60,2080,3553,189042,29,159,1292,0,0,320,20090,572,139650,0,660,35,0,0,244,0,0,0,0,0,0,98,6,4,0,0,0,0,0,0,0,173
29379855,278712,43693,36,27658,156645,0,0,6,966,216,6083,15876,14449,2724,5591,4425,7438,11760,8232,3036,13818,13524,4506,6468,10185,2724,16,160,8862,9889,2293,1326,69,6511,0,4948,3124,1493,11551,0,9329,4048,261043,11102,0,178307,5436,8232,0,571,30618,0,0,2804,3746,5760,0,11,0,0,11500,432,220,0,0,720,0,11208,0,0,20
29379861,20993,8546,78,8796,3591,207,0,1191,0,0,0,564,9610,635,10027,365,336,2571,504,5971,10837,0,840,0,1550,0,152,24,980,58,112,1176,0,0,0,840,0,0,0,0,20971,19028,100405,70336,0,79655,794,29400,44,6992,92282,179,2705,144,360,3461,217,0,0,26,65,1182,746,0,120,630,0,431,0,0,10157
29379635,122010,3384,0,15582,6228,35550,2025,7066,1869,0,0,110,2112,122,1110,35,5142,0,132,0,552,6,116,156,162,0,24,88,2862,12,56,18,0,125,875,0,5120,0,318,0,370,113,79686,39252,20,14868,272,1470,0,132,1013,0,117,1840,0,3285,0,0,0,0,0,1475,0,0,28,0,0,0,0,0,77
29379829,34667,17537,59,1625,28678,0,0,64,0,526,744,1736,2294,618,819,8560,0,5234,439,417,1621,1989,597,909,610,804,32,48,160,12,32,537,46,676,732,24,96,36,179,151,1118,660,8390,1899,0,30314,64,10584,204,4114,15,0,91,312,0,0,0,0,88,36,88,30,116,112,120,0,35,67,0,72,2765
29378785,2671761,333347,588,302125,417079,58377,1550,10,32,0,4,118,29856,28899,92517,0,1540,314,0,44,182614,1182,808,39,634,0,410,278,1822,1,7764,0,0,12,8272,103,1288,0,3324,65,60,244,6267,60956,0,29314,344,283715,0,97,0,0,105,112,0,12,225,0,0,0,0,498,8,0,4,0,0,0,0,0,0
29635311,1026474,109112,0,135850,218165,99072,78080,2058,964321,294,3027,3113,52920,26754,98680,3504,211277,3576,14994,1323,50568,5040,7644,5292,12936,80,1502,358,41516,0,19961,1740,69,5591,4013,0,400,1626,34189,0,77,1040,270415,61598,0,1616,1430,68,0,915,13047,0,213,0,0,0,0,0,0,0,0,612,0,0,0,0,0,7,0,0,0
